Date Announced,Detected Prefecture,Status
2020-10-03,Gampaha,1
2020-10-03,Unspecified,7
2020-10-04,Gampaha,70
2020-10-04,Unspecified,5
2020-10-05,Gampaha,254
2020-10-05,Jaffna,1
2020-10-05,Kurunegala,4
2020-10-05,Matale,1
2020-10-05,Moneragala,1
2020-10-05,Unspecified,1
2020-10-06,Gampaha,507
2020-10-06,Kalutara,1
2020-10-06,Kurunegala,1
2020-10-06,Matale,1
2020-10-06,Unspecified,9
2020-10-07,Colombo,2
2020-10-07,Gampaha,198
2020-10-07,Kurunegala,2
2020-10-07,Unspecified,5
2020-10-08,Colombo,4
2020-10-08,Gampaha,10
2020-10-08,Kalutara,3
2020-10-08,Unspecified,12
2020-10-09,Colombo,4
2020-10-09,Galle,1
2020-10-09,Gampaha,19
2020-10-09,Kalutara,1
2020-10-09,Kandy,2
2020-10-09,Kurunegala,1
2020-10-09,Puttalam,2
2020-10-09,Unspecified,5
2020-10-10,Gampaha,99
2020-10-10,Kalutara,1
2020-10-10,Mannar,5
2020-10-11,Colombo,1
2020-10-11,Gampaha,114
2020-10-11,Kegalle,3
2020-10-11,Mannar,3
2020-10-11,Unspecified,3
2020-10-12,Anuradhapura,1
2020-10-12,Colombo,3
2020-10-12,Gampaha,84
2020-10-12,Kegalle,1
2020-10-12,Puttalam,1
2020-10-12,Unspecified,2
2020-10-13,Colombo,9
2020-10-13,Kalutara,1
2020-10-13,Ratnapura,1
2020-10-13,Unspecified,183
2020-10-14,Unspecified,132
2020-10-15,Kurunegala,1
2020-10-15,Unspecified,73
2020-10-16,Unspecified,110
2020-10-17,Unspecified,121
2020-10-18,Kalutara,17
2020-10-18,Unspecified,46
2020-10-19,Colombo,7
2020-10-19,Kalutara,1
2020-10-19,Unspecified,79
2020-10-20,Colombo,8
2020-10-20,Unspecified,178
2020-10-21,Colombo,49
2020-10-21,Unspecified,118
2020-10-22,Anuradhapura,1
2020-10-22,Colombo,199
2020-10-22,Galle,9
2020-10-22,Gampaha,84
2020-10-22,Kurunegala,12
2020-10-22,Matara,1
2020-10-22,Vavuniya,3
2020-10-23,Colombo,202
2020-10-23,Galle,5
2020-10-23,Gampaha,19
2020-10-23,Kalutara,20
2020-10-23,Kurunegala,1
2020-10-23,Unspecified,619
2020-10-24,Colombo,229
2020-10-24,Galle,1
2020-10-24,Gampaha,59
2020-10-24,Kalutara,10
2020-10-24,Kandy,1
2020-10-24,Kegalle,1
2020-10-24,Kurunegala,9
2020-10-24,Matale,1
2020-10-24,Nuwara Eliya,2
2020-10-24,Puttalam,11
2020-10-24,Trincomalee,5
2020-10-24,Unspecified,39
2020-10-25,Colombo,186
2020-10-25,Gampaha,105
2020-10-25,Unspecified,60
2020-10-26,Badulla,1
2020-10-26,Colombo,191
2020-10-26,Gampaha,304
2020-10-26,Kandy,1
2020-10-26,Kegalle,1
2020-10-26,Puttalam,1
2020-10-26,Unspecified,42
2020-10-27,Badulla,5
2020-10-27,Colombo,183
2020-10-27,Galle,2
2020-10-27,Gampaha,220
2020-10-27,Hambantota,2
2020-10-27,Kalutara,16
2020-10-27,Kandy,1
2020-10-27,Kurunegala,3
2020-10-27,Matale,1
2020-10-27,Nuwara Eliya,10
2020-10-27,Ratnapura,5
2020-10-27,Unspecified,9
2020-10-28,Colombo,237
2020-10-28,Galle,1
2020-10-28,Gampaha,75
2020-10-28,Hambantota,3
2020-10-28,Kalutara,10
2020-10-28,Kurunegala,4
2020-10-28,Nuwara Eliya,4
2020-10-28,Puttalam,1
2020-10-29,Badulla,4
2020-10-29,Colombo,201
2020-10-29,Galle,2
2020-10-29,Gampaha,207
2020-10-29,Hambantota,1
2020-10-29,Jaffna,46
2020-10-29,Kegalle,1
2020-10-29,Moneragala,1
2020-10-29,Nuwara Eliya,2
2020-10-29,Ratnapura,2
2020-10-29,Unspecified,119
2020-10-30,Ampara,2
2020-10-30,Badulla,1
2020-10-30,Colombo,162
2020-10-30,Galle,4
2020-10-30,Gampaha,264
2020-10-30,Hambantota,1
2020-10-30,Kalutara,18
2020-10-30,Kandy,3
2020-10-30,Kegalle,11
2020-10-30,Kurunegala,17
2020-10-30,Matale,3
2020-10-30,Matara,1
2020-10-30,Quarantine Centers,138
2020-10-30,Ratnapura,5
2020-10-30,Unspecified,3
