District,Population,,,,
Colombo,"2,324,349",,,,
Gampaha,"2,304,833",,,,
Kalutara,"1,221,948",,,,
Kandy,"1,375,382",,,,
Matale,"484,531",,,,
NuwaraEliya,"711,644",,,,
Galle,"1,063,334",,,,
Matara,"814,048",,,,
Hambantota,"599,903",,,,
Jaffna,"583,882",,,, 
Mannar,"99,570",,,,
Vavuniya,"172,115",,,,
Mulative,"92,238",,,,
Kilinochchi,"113,510",,,,
Batticola,"526,567",,,,
Ampara,"649,402",,,,
Trincomalee,"379,541",,,,
Kurunegala,"1,618,465",,,,
Puttalam,"762,396",,,,
Anuradhapura,"860,575",,,,
Polonnaruwa,"406,088",,,,
Badulla,"815,405",,,,
Moneragala,"451,058",,,,
Ratnapura,"1,088,007",,,,
Kegalle,"840,648",,,,
